text,label
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
I love this product!,positive
This is the worst service ever.,negative
"It's okay, not bad.",neutral
Absolutely fantastic experience.,positive
I hate it.,negative
I'm feeling neutral today.,neutral
Such a great day!,positive
Terrible customer support.,negative
Not sure how I feel about this.,neutral
Best app I've ever used.,positive
So disappointed in the result.,negative
"It was fine, nothing special.",neutral
Could be better.,neutral
I'm extremely happy with this!,positive
Never buying this again.,negative
I'm indifferent.,neutral
Highly recommend!,positive
Very poor quality.,negative
No strong feelings.,neutral
Exceeded expectations!,positive
